Pages,URL,HRef,Visits,% Visits
"Home - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,278076,0.47176
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,71934,0.12204
"Accueil - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,71558,0.1214
Access your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,19927,0.03381
Access your account - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,16751,0.02842
Financing - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=1,14390,0.02441
"Contactez Innovation, Sciences et Développement économique Canada - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,11961,0.02029
"Canada Business App - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07670.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07670.html,9201,0.01561
"Terms and conditions - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,8817,0.01496
"List of Readers/Viewers - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07134.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07134.html,8539,0.01449
"Programs and initiatives - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07654.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07654.html,6464,0.01097
Access your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/home.html,http://www.ic.gc.ca/app/scr/registration-inscription/home.html,5590,0.00948
"Senior officials and sectors - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00019.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00019.html,5099,0.00865
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,4677,0.00793
"Innovation, Science and Economic Development portfolio - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,4524,0.00767
"Our ministers - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00279.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00279.html,3966,0.00673
"Canada's Regional Development Agencies - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,3608,0.00612
Matching username(s) - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html,2531,0.00429
"Conditions - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07033.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07033.html,2197,0.00373
"Appli Entreprises Canada - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07670.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07670.html,1939,0.00329
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,1893,0.00321
"Search - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,1836,0.00311
"John Knubley - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,1832,0.00311
"Liste de lecteurs et visualiseurs - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07134.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07134.html,1793,0.00304
Financement - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,1761,0.00299
"Our organization - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00007.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00007.html,1581,0.00268
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html,1442,0.00245
