Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
"Home - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,294272,360673,157,0
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,83313,108344,204,0
"Accueil - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,77917,91638,154,0
Access your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,23065,37203,59,0
Access your account - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,18155,29159,36,0
Access your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/home.html,http://www.ic.gc.ca/app/scr/registration-inscription/home.html,15726,31697,47,0
"Contactez Innovation, Sciences et Développement économique Canada - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,14651,19387,197,0
Financing - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=1,14546,17468,242,0
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://www.ic.gc.ca/app/scr/registration-inscription/register_email.html,13650,19211,31,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/register_email.html,12846,17793,29,0
"Innovation, Science and Economic Development portfolio - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,12750,16118,109,0
Update your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/update.html,http://www.ic.gc.ca/app/scr/registration-inscription/update/update.html,10504,20651,46,0
Create an account - step 2 of 2 - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/register.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/register.html,10255,20556,121,0
