Query,Clicks,Impressions,CTR,Position
ised,3131,240102,1.30%,2.95
ised canada,1837,81505,2.25%,1.9
innovation science and economic development,1542,69445,2.22%,2.94
"innovation, science and economic development canada",1082,35696,3.03%,1.63
innovation science and economic development canada,827,20852,3.97%,1.66
regional development agencies canada,517,777,66.54%,1.05
david mcgovern,397,2109,18.82%,4.21
regional development agencies,373,894,41.72%,5.51
canada business app,365,832,43.87%,1.72
18003286189,338,4899,6.90%,2.44
guylaine roy,323,2256,14.32%,2.77
innovation sciences et développement économique canada,309,4309,7.17%,3.97
paul thompson,232,3991,5.81%,4.29
simon kennedy,227,888,25.56%,3.5
1-800-328-6189,192,1903,10.09%,2.81
list of economic development organizations canada,191,496,38.51%,1.14
paul thompson ised,185,349,53.01%,1.11
ised portfolio,185,282,65.60%,1.72
industry canada,155,36814,0.42%,1.18
industrie canada,152,3603,4.22%,2.98
"innovation, sciences et développement économique canada",116,2011,5.77%,3.77
ised org chart,113,153,73.86%,1
"innovation, science and economic development",107,6539,1.64%,2.64
isde canada,101,830,12.17%,4.11
canadian statistics advisory council,98,208,47.12%,1.62
economic development canada,96,7718,1.24%,3.68
canada ised,86,2969,2.90%,1.48
ised minister,83,2173,3.82%,2.73
ised industry canada,82,608,13.49%,1.8
ministry of innovation science and economic development,81,2205,3.67%,2.18
consumer protection canada,76,210,36.19%,1.03
innovation science and economic development canada toronto,74,926,7.99%,1.38
minister of innovation science and economic development,70,3361,2.08%,2.12
ised gc.ca,68,334,20.36%,2.07
simon kennedy deputy minister,64,171,37.43%,2.5
canada consumer protection,64,152,42.11%,1.14
"innovation, science and economic development canada (ised)",62,1523,4.07%,1.51
"innovation, science and economic development canada subsidiaries",62,669,9.27%,1.77
canada regional development agencies,60,87,68.97%,1
ised mandate,59,519,11.37%,2.61
développement économique canada,55,4708,1.17%,4.3
what is industry canada,54,360,15%,2.1
icgc canada,51,1952,2.61%,1.77
canada economic development,50,2641,1.89%,4.7
innovation science and economic development canada winnipeg,50,590,8.47%,1.23
science and economic development canada,48,1480,3.24%,1.64
department of innovation science and economic development,47,1854,2.54%,3.01
regional economic development agencies,46,105,43.81%,3.24
canadian consumer protection,44,102,43.14%,1.13
235 queen street ottawa,42,6724,0.62%,4.88
consumer protection act canada,42,175,24%,2.04
innovation science et développement économique canada,40,407,9.83%,3.84
"innovation, science and industry",39,322,12.11%,1.65
ised consultations,39,76,51.32%,1.33
rcmp fraud reporting,38,207,18.36%,1.08
innovation science economic development canada,37,966,3.83%,1.6
canadian economic development agency,37,259,14.29%,2.21
reporting fraud in canada,37,154,24.03%,1
innovation science and industry,36,492,7.32%,1.44
federal economic development agency for southern ontario,34,2182,1.56%,5.37
consumer rights canada,34,94,36.17%,1.77
regional development agency,33,296,11.15%,6.08
minister of science canada,33,240,13.75%,6.46
industry canada contact,30,1936,1.55%,5.38
"minister of innovation, science and economic development",30,1828,1.64%,2.14
minister of industry,30,745,4.03%,2.95
canadian anti fraud centre,29,2076,1.40%,4.25
ised ministers,29,55,52.73%,1.71
fraud in canada,28,262,10.69%,2.21
fraud canada,27,559,4.83%,3.8
innovation sciences and economic development canada,27,549,4.92%,1.64
